DCAF7_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (DCAF7_vs_zCtl),P_Value (DCAF7_vs_zCtl),isDifferential (DCAF7_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
SERPINB6,-0.9078896008,0.00141672845494616,0,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,4;4;4;4;2,4;4;4;4;2,4;4;4;4;2,Serpin B6,SERPINB6,sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3;tr|A0A2R8YD12|A0A2R8YD12_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0,4,4,12.2,376
HDLBP,-0.2574033069,0.106325371140412,0,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JHS7;H0Y394;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JHS7,7;7;5;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,7;7;5;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,7;7;5;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",7,7,6.8,1268
PSMA2,-0.1750369118,0.190130206020953,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,10;10;5;3;1,10;10;5;3;1,10;10;5;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,10,10,49.6,234
BAG6;BAT3,-0.0917883342,0.477559896207409,0,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;X6REW1;A0A0G2JJM1;F6S6P2;H0Y7K4;H0Y759;A0A0G2JJ92;A0A0G2JIB3;A0A0G2JIA9,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;X6REW1;A0A0G2JJM1;F6S6P2,4;4;4;4;3;3;2;1;1;1;1;1,4;4;4;4;3;3;2;1;1;1;1;1,4;4;4;4;3;3;2;1;1;1;1;1,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,4,4,4.2,1132
TAF15,-0.231745321,0.140758985592054,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,3;3;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,2,8.3,592
TXNRD1,0.5310892965,0.0378401915939895,0,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PRI8;E9PKI4;E9PLT3;E9PQI3;Q9NNW7;A0A182DWF2;E7EWK1;D3YTF8;A0A182DWF3;A0A096LPD9;A0A096LPK7,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9,21;21;21;21;21;21;19;10;5;4;3;3;3;2;1;1;1;1;1;1;1,21;21;21;21;21;21;19;10;5;4;3;3;3;2;1;1;1;1;1;1;1,21;21;21;21;21;21;19;10;5;4;3;3;3;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,21,39.6,649
HMOX2,-0.3127011038,0.137703777743305,0,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,5;5;5;5;1;1;1;1,5;5;5;5;1;1;1;1,5;5;5;5;1;1;1;1,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,5,5,28.5,316
EIF2B4,-1.0111920665,0.14007172511576,0,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,5;5;5;2;2;1,5;5;5;2;2;1,5;5;5;2;2;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,5,5,15.7,523
